王君效,王济仁,师祖
王夫人,王子腾,妹
王夫人,贾政,妻
周瑞,王夫人,陪房
周瑞,贾府掌管收取地租,管家
来喜家的,王夫人,陪房
玉钏,王夫人,丫鬟
玉钏,金钏,胞妹
金钏,王夫人,丫鬟
绣鸾,王夫人,丫鬟
绣凤,王夫人,丫鬟
彩云,王夫人,丫鬟
彩霞,王夫人,丫鬟
刘姥姥,王夫人父亲的连宗宗侄孙王成之子狗儿,岳母
薛姨妈,王夫人,妹
王成,狗儿,父
刘氏,狗儿,妻
刘氏,刘姥姥,女儿
板儿,狗儿,子
板儿,刘氏,子
青儿,狗儿,女
青儿,刘氏,女
牛继宗,牛清,孙子
净虚,水月庵,老尼姑
净虚,智能,师傅
净虚,智善,师傅
智能,水月庵,尼姑
杏奴,柳湘莲,小厮
柳芳,柳彪,孙子
柳五儿,柳嫂子,女
雪雁,林黛玉,小丫鬟
春纤,林黛玉,丫鬟
林黛玉,林如海与贾敏,女
林之孝家的,贾府中总领家事,媳妇
李婶娘,李纨,婶娘
素云,李纨,丫头
李绮,李纨娘,女
李守中,李纨,父
李纹,李婶娘,女
袭人,原为贾母,丫鬟
胡老爷,贾蓉,续妻胡氏之父
裘良,景田侯子,孙
拐子,拐卖英莲,人贩子
空空道人,抄录《石头记》,道人
张材家的,张材,妻
蒋子宁,平原侯,孙
尤老娘,尤氏,继母
尤老娘,尤二姐,母亲
尤老娘,尤三姐,母亲
尤二姐,尤氏,妹妹
银蝶,尤氏,丫鬟
炒豆儿,尤氏,丫鬟
尤三姐,尤二姐,妹妹
冯渊,小乡绅,子
渺渺真人,将顽石变成美玉,道人
渺渺真人,后回书中,跛足道人
茫茫大士,将顽石变成美玉,僧人
茫茫大士,后回书中,癞头僧人
李嬷嬷,宝玉,奶娘
李嬷嬷,李贵,母
李贵,宝玉,仆人
李贵,李嬷嬷,子
谢鲸,定城侯,孙
贾蔷,宁府,正派玄孙
焦大,宁国府里从小跟随宁国公,老仆人
俞禄,宁国府,小管家
秦钟,秦业,子
秦钟,秦可卿,弟
薛蟠,薛姨妈,子
贾赦,贾代善与贾母,长子
贾政,贾代善与贾母,次子
詹光,贾政,清客相公
贾瑞,贾代儒,孙
贾菌,娄氏,子
警幻仙子,太虚幻境,仙姑
痴梦仙姑,太虚幻境,仙姑
引愁金女,太虚幻境,仙姑
钟情大士,太虚幻境,仙姑
度恨菩提,太虚幻境,仙姑
王一贴,天齐庙,道士
宝蟾,夏金桂,陪房丫头
小舍儿,夏金桂,丫鬟
夏奶奶,夏金桂,母
冷子兴,周瑞,女婿
周瑞家的,周瑞,妻
周瑞家的,王夫人,陪房
周瑞家的,冷子兴,岳母
贾芹,周氏,子
贾芹,铁槛寺和尚道士,总管
吴天佑,吴贵妃,父
林如海,林黛玉,父
贾雨村,黛玉,老师
秦显家的,司棋,婶娘
秦显家的,荣国府上夜,佣人
潘又安,司棋,姑表弟
史湘云,史鼐,侄女
史湘云,史鼎,侄女
周奶娘,史湘云,奶妈
缕儿,史湘云,丫鬟
翠缕,史湘云,丫鬟
秋桐,贾赦,丫鬟
善姐,王熙凤,丫鬟
小红,贾宝玉,丫鬟
紫鹃,贾母,丫鬟
银姐,卜世仁,女
单大娘,单大良,妻
张友士,冯紫英,老师
傅秋芳,傅试,妹妹
史鼐,保龄侯尚书令史公,后
史鼎,保龄侯尚书令,后
史鼎,史鼐,弟
侯孝康,侯晓明,孙子
余信家的,余信,妻
小鸠儿,何婆,女儿
小鸠儿,春燕,妹妹
邢德全,邢夫人,胞弟
贾代化,贾演,长子
贾芸,五嫂子,儿子
多姑娘,多浑虫,妻
夏婆子,春燕,姨妈
夏婆子,藕官,干娘
何婆子,丫鬟春燕,母
何婆子,芳官,干娘
小霞,丫鬟彩霞,妹妹
