subject,relationship,object
最后骑士,主演,丹尼斯·霍珀
最后骑士,导演,guynormanbee
冤家父子,出品公司,北京电影制片厂
冤家父子,主演,徐帆
冤家父子,导演,王朔
冤家父子,导演,冯小刚
永失我爱,导演,冯小刚
暴君,主演,亚当·雷纳
暴君,主演,阿什拉夫·巴姆
暴君,导演,大卫·叶茨
关中刀客,主演,傅彪
关中刀客,主演,徐帆
关中刀客,导演,张建亚
关中刀客,导演,黄建新
甲方乙方,导演,冯小刚
少年派的奇幻漂流,导演,李安
少年派的奇幻漂流,主演,拉菲·斯波
少年派的奇幻漂流,主演,苏拉·沙玛
甲方乙方,导演,冯小刚
手机,上映时间,2003年
手机,主演,葛优
手机,主演,范冰冰
手机,导演,冯小刚
大腕,上映时间,2001年12月21日
大腕,主演,葛优
大腕,主演,关之琳
大腕,导演,冯小刚
没完没了,上映时间,1999年
没完没了,主演,葛优
没完没了,主演,傅彪
没完没了,导演,冯小刚
私人订制,上映时间,2013年
私人订制,出品公司,华谊兄弟传媒集团
私人订制,主演,葛优
私人订制,主演,白百何
私人订制,导演,冯小刚
非诚勿扰2,出品公司,华谊兄弟传媒有限公司
非诚勿扰2,主演,葛优
非诚勿扰2,主演,舒淇
非诚勿扰2,导演,冯小刚
天下无贼,主演,刘若英
天下无贼,主演,刘德华
天下无贼,导演,冯小刚
我不是潘金莲,上映时间,2016年9月8日
我不是潘金莲,导演,冯小刚
非诚勿扰,主演,葛优
非诚勿扰,主演,舒淇
非诚勿扰,导演,冯小刚
手机2,出品公司,浙江东阳美拉传媒有限
手机2,导演,冯小刚
温故,作者,刘震云
一九四二,出品公司,华谊
一九四二,导演,冯小刚
一九四二,主演,张国
一地鸡毛,主演,徐帆
一地鸡毛,主演,陈道明
一地鸡毛,导演,冯小刚
夜宴,上映时间,2006年
夜宴,导演,冯小刚
只有芸知道,主演,黄轩
只有芸知道,主演,杨采钰
只有芸知道,导演,冯小刚
遭遇激情,主演,袁苑
遭遇激情,主演,吕丽萍
遭遇激情,导演,夏钢
大撒把,出品公司,北京电影制片厂
大撒把,上映时间,1992年
大撒把,导演,夏钢
大撒把,主演,葛优
大撒把,主演,徐帆
北辙南辕,上映时间,2021年7月11日
北辙南辕,导演,冯小刚
大阅兵,出品公司,广西电影制片厂
大阅兵,上映时间,1986年
大阅兵,主演,王学圻
大阅兵,主演,孙淳
大阅兵,导演,陈凯歌
孩子王,出品公司,西安电影制片厂
孩子王,上映时间,1987年
孩子王,主演,谢园
孩子王,导演,陈凯歌
集结号,主演,邓超
集结号,主演,张涵予
集结号,编剧,刘恒
集结号,导演,冯小刚
边走边唱,主演,黄磊
边走边唱,导演,陈凯歌
黄土地,编剧,柯蓝
唐山大地震,导演,冯小刚
荆轲刺秦王,上映时间,1999年
编辑部的故事,出品公司,北京电视艺术中心
天生胆小,出品公司,北京电影学院青年电影制片厂
天生胆小,编剧,冯小刚
天生胆小,主演,葛优
天生胆小,主演,马羚
天生胆小,导演,彦小追
梅兰芳,主演,章子怡
梅兰芳,主演,黎明
梅兰芳,导演,陈凯歌
霸王别姬,出品公司,汤臣电影有限公司
霸王别姬,编剧,芦苇
霸王别姬,导演,陈凯歌
赵氏孤儿,出品公司,上海东方影视发行有限责任公司
赵氏孤儿,导演,陈凯歌
赵氏孤儿,主演,葛优
赵氏孤儿,主演,王学圻
吕布与貂蝉,导演,陈凯歌
风月,改编自,花影
风月,主演,张国荣
风月,主演,巩俐
风月,导演,陈凯歌
道士下山,出品公司,新丽传媒股份有限公司
道士下山,主演,王宝
道士下山,导演,陈凯歌
和你在一起,上映时间,2002年
和你在一起,制片人,陈凯歌
和你在一起,导演,陈凯歌
搜索,上映时间,2012年7月6日
搜索,编剧,陈凯歌
搜索,主演,姚晨
搜索,主演,高圆圆
搜索,导演,陈凯歌
芳华,出品公司,浙江东阳美拉传媒有限公司
芳华,导演,冯小刚
芳华,编剧,严歌苓
尘埃里开花,主演,刘昊然
尘埃里开花,主演,陈飞宇
尘埃里开花,导演,陈凯歌
温柔地杀我,主演,海瑟·格
温柔地杀我,导演,陈凯歌
长津湖,上映时间,2021年9月30日
长津湖,主演,易烊千玺
长津湖,主演,吴京
长津湖,导演,徐克
无极,主演,张东健
无极,主演,真田广之
无极,导演,陈凯歌
2046,导演,王家卫
每个人都有他自己的电影,上映时间,2007年
每个人都有他自己的电影,主演,乔治·巴布鲁阿尼
每个人都有他自己的电影,导演,西奥·安哲罗普洛斯
跟踪,导演,王家卫
蓝莓之夜,主演,诺拉
蓝莓之夜,导演,王家卫
一代宗师,主演,章子怡
一代宗师,主演,梁朝伟
一代宗师,导演,王家卫
我和我的祖国,主演,黄渤
东邪西毒,上映时间,1994年9月17日
东邪西毒,主演,张国荣
东邪西毒,主演,林青
东邪西毒,导演,王家卫
爱神,上映时间,2004年12月3日
爱神,导演,王家卫
爱神,编剧,王家卫
爱神,主演,巩俐
爱神,主演,张震
花样年华,上映时间,2000年9月29日
花样年华,主演,张曼玉
花样年华,主演,梁朝伟
花样年华,导演,王家卫
春光乍泄,上映时间,1997年5月30日
春光乍泄,主演,张国荣
春光乍泄,主演,梁朝伟
春光乍泄,导演,王家卫
旺角卡门,出品公司,影之杰制作有限公司
旺角卡门,主演,张曼玉
旺角卡门,主演,刘德华
旺角卡门,导演,王家卫
重庆森林,出品公司,泽东电影公司
重庆森林,主演,林青霞
重庆森林,主演,梁朝
重庆森林,导演,王家卫
九一神雕侠侣,上映时间,1991年
九一神雕侠侣,出品公司,天幕制作有限公司
妖猫传,出品公司,新丽传媒股份有限公司
妖猫传,编剧,王蕙玲
妖猫传,导演,陈凯歌
再战江湖,主演,罗美薇
再战江湖,主演,任达华
再战江湖,导演,张同祖
猎鹰计划,主演,刘德华
猎鹰计划,主演,吕良伟
猎鹰计划,导演,罗文
猛鬼差馆,主演,张学友
猛鬼差馆,主演,许冠英
猛鬼差馆,导演,王家卫
堕落天使,出品公司,泽东电影公司
堕落天使,主演,李嘉欣
堕落天使,主演,黎明
堕落天使,导演,王家卫
恶男,主演,陈勋奇
恶男,编剧,王家卫
江湖龙虎斗,主演,周润发
江湖龙虎斗,主演,邓光荣
江湖龙虎斗,导演,张同祖
猛鬼学堂,上映时间,1988年4月28日年
猛鬼学堂,主演,张学友
猛鬼学堂,主演,许冠英
猛鬼学堂,导演,刘镇伟
神勇双响炮续集,制片人,洪金宝
神勇双响炮续集,主演,元彪
神勇双响炮续集,主演,卢冠廷
神勇双响炮续集,导演,张同祖
最后胜利,主演,徐克
最后胜利,主演,曾志伟
最后胜利,导演,谭家明
小狐仙,主演,陈勋奇
小狐仙,主演,倪淑君
小狐仙,编剧,王家卫
小狐仙,出品公司,永佳影业有限公司
摆渡人,出品公司,阿里影业
摆渡人,上映时间,2016年12月23日
摆渡人,编剧,张嘉佳
摆渡人,导演,张嘉佳
摆渡人,主演,金城武
摆渡人,主演,梁朝伟
空心大少爷,主演,叶倩文
空心大少爷,上映时间,1983年
空心大少爷,导演,陈勋奇
我要金龟婿,上映时间,1986年
我要金龟婿,编剧,王家卫
我要金龟婿,导演,陈勋奇
龙凤智多星,主演,张国荣
龙凤智多星,主演,冯淬帆
龙凤智多星,编剧,王家卫
龙凤智多星,导演,黎应就
阿飞正传,上映时间,1990年12月15日
阿飞正传,出品公司,影之杰制作有限公司
阿飞正传,导演,王家卫
地下铁,主演,杨千嬅
地下铁,主演,梁朝
地下铁,导演,马伟豪
初缠恋后的二人世界,主演,金城武
初缠恋后的二人世界,导演,葛民辉
天下无双,主演,王菲
天下无双,主演,梁朝
天下无双,导演,刘镇伟
渺渺,主演,范植伟
渺渺,主演,柯佳嬿
渺渺,导演,程孝泽
逆光飞翔,主演,张榕容
逆光飞翔,主演,黄裕
逆光飞翔,导演,张荣吉
撞死了一只羊,制片人,王家卫
撞死了一只羊,出品公司,上海繁花里企业发展有限公司
撞死了一只羊,编剧,万玛才旦
撞死了一只羊,导演,万玛才旦
大唐玄奘,出品公司,中国电影股份有限公司
大唐玄奘,主演,徐峥
大唐玄奘,导演,霍建起
彩云曲,出品公司,新艺城影业公司
彩云曲,主演,徐杰
彩云曲,导演,吴小云
射雕英雄传之东成西就,导演,刘镇伟
