subject,relation,object
阿斯特赖俄斯,交集,厄俄斯
阿斯特赖俄斯,交集,艾斯特莱雅
珀耳塞斯,交集,克利俄斯
珀耳塞斯,交集,阿斯特赖俄斯
珀耳塞斯,交集,帕拉斯
珀耳塞斯,交集,欧律比亚
珀耳塞斯,交集,赫卡忒
珀耳塞斯,交集,比亚
帕拉斯,交集,雅典娜
帕拉斯,交集,斯堤克斯
阿特拉斯,交集,宙斯
普罗米修斯,交集,盖亚
普罗米修斯,交集,乌拉诺斯
普罗米修斯,交集,伊阿珀托斯
普罗米修斯,交集,宙斯
普罗米修斯,交集,雅典娜
普罗米修斯,交集,克吕墨涅
埃庇米修斯,交集,普罗米修斯
埃庇米修斯,交集,墨诺提俄斯
埃庇米修斯,交集,克吕墨涅
埃庇米修斯,交集,阿忒
埃庇米修斯,交集,潘
墨诺提俄斯,交集,伊阿珀托斯
墨诺提俄斯,交集,阿特拉斯
墨诺提俄斯,交集,普罗米修斯
墨诺提俄斯,交集,宙斯
墨诺提俄斯,交集,塔罗
墨诺提俄斯,交集,克吕墨涅
宙斯,交集,波塞冬
宙斯,交集,哈迪斯
赫拉,交集,克洛诺斯
赫拉,交集,瑞亚
赫拉,交集,宙斯
赫拉,交集,阿瑞斯
赫拉,交集,赫菲斯托斯
赫拉,交集,赫柏
赫拉,交集,厄勒梯亚
波塞冬,交集,宙斯
波塞冬,交集,哈迪斯
德墨忒尔,交集,克洛诺斯
德墨忒尔,交集,瑞亚
德墨忒尔,交集,宙斯
德墨忒尔,交集,赫拉
德墨忒尔,交集,波塞冬
德墨忒尔,交集,赫斯提亚
德墨忒尔,交集,哈迪斯
德墨忒尔,交集,珀耳塞福涅
阿波罗,交集,忒弥斯
阿波罗,交集,赫利俄斯
阿波罗,交集,勒托
阿波罗,交集,宙斯
阿波罗,交集,阿尔忒弥斯
阿尔忒弥斯,交集,忒弥斯
阿尔忒弥斯,交集,勒托
阿尔忒弥斯,交集,宙斯
阿尔忒弥斯,交集,阿波罗
阿尔忒弥斯,交集,雅典娜
阿尔忒弥斯,交集,阿佛洛狄忒
阿尔忒弥斯,交集,赫斯提亚
阿瑞斯,交集,宙斯
阿瑞斯,交集,赫拉
雅典娜,交集,盖亚
雅典娜,交集,乌拉诺斯
雅典娜,交集,忒弥斯
雅典娜,交集,帕拉斯
雅典娜,交集,普罗米修斯
雅典娜,交集,宙斯
雅典娜,交集,阿尔忒弥斯
雅典娜,交集,赫菲斯托斯
雅典娜,交集,赫尔墨斯
雅典娜,交集,赫斯提亚
雅典娜,交集,墨提斯
赫菲斯托斯,交集,宙斯
赫菲斯托斯,交集,赫拉
赫菲斯托斯,交集,阿佛洛狄忒
阿佛洛狄忒,交集,赫菲斯托斯
赫尔墨斯,交集,阿特拉斯
赫尔墨斯,交集,宙斯
狄俄尼索斯,交集,宙斯
狄俄尼索斯,交集,德墨忒尔
狄俄尼索斯,交集,珀耳塞福涅
狄俄尼索斯,交集,米诺斯
赫斯提亚,交集,克洛诺斯
赫斯提亚,交集,瑞亚
赫斯提亚,交集,忒弥斯
赫斯提亚,交集,宙斯
赫斯提亚,交集,赫拉
赫斯提亚,交集,波塞冬
赫斯提亚,交集,德墨忒尔
赫斯提亚,交集,阿波罗
赫斯提亚,交集,阿尔忒弥斯
赫斯提亚,交集,雅典娜
赫斯提亚,交集,哈迪斯
哈迪斯,交集,宙斯
哈迪斯,交集,赫拉
哈迪斯,交集,波塞冬
哈迪斯,交集,珀耳塞福涅
俄尼里伊,交集,修普诺斯
阿涅弥伊,交集,厄俄斯
阿涅弥伊,交集,阿斯特赖俄斯
波塔摩斯,交集,俄刻阿尼得斯
俄刻阿尼得斯,交集,俄刻阿诺斯
墨利阿得斯,交集,盖亚
墨利阿得斯,交集,乌拉诺斯
厄里倪厄斯,交集,盖亚
厄里倪厄斯,交集,乌拉诺斯
厄里倪厄斯,交集,雅典娜
卡里忒斯,交集,宙斯
卡里忒斯,交集,欧律诺墨
摩伊赖,交集,忒弥斯
摩伊赖,交集,宙斯
荷赖,交集,忒弥斯
荷赖,交集,宙斯
荷赖,交集,摩伊赖
荷赖,交集,狄刻
狄刻,交集,忒弥斯
狄刻,交集,宙斯
狄刻,交集,荷赖
塔罗,交集,赫利俄斯
塔罗,交集,塞勒涅
塔罗,交集,荷赖
缪斯,交集,盖亚
缪斯,交集,乌拉诺斯
缪斯,交集,谟涅摩叙涅
缪斯,交集,宙斯
缪斯,交集,阿波罗
涅瑞伊得斯,交集,波塞冬
涅瑞伊得斯,交集,安菲特里忒
涅瑞伊得斯,交集,涅柔斯
那伊阿得斯,交集,俄刻阿尼得斯
那伊阿得斯,交集,涅瑞伊得斯
拉姆帕德斯,交集,赫卡忒
赫利阿得斯,交集,赫利俄斯
赫利阿得斯,交集,克吕墨涅
赫斯珀里得斯,交集,阿特拉斯
赫斯珀里得斯,交集,赫拉
许阿得斯,交集,阿特拉斯
许阿得斯,交集,狄俄尼索斯
许阿得斯,交集,赫斯珀里得斯
许阿得斯,交集,普勒阿得斯
许阿得斯,交集,卡吕普索
普勒阿得斯,交集,阿特拉斯
普勒阿得斯,交集,普勒俄涅
忒尔喀涅斯,交集,瑞亚
忒尔喀涅斯,交集,宙斯
忒尔喀涅斯,交集,波塞冬
忒尔喀涅斯,交集,塔拉萨
安菲特里忒,交集,俄刻阿诺斯
安菲特里忒,交集,阿特拉斯
安菲特里忒,交集,波塞冬
安菲特里忒,交集,阿波罗
安菲特里忒,交集,涅柔斯
忒提丝,交集,涅柔斯
涅柔斯,交集,盖亚
涅柔斯,交集,蓬托斯
涅柔斯,交集,克洛诺斯
涅柔斯,交集,宙斯
涅柔斯,交集,赫拉
涅柔斯,交集,波塞冬
涅柔斯,交集,普罗透斯
陶玛斯,交集,盖亚
陶玛斯,交集,蓬托斯
陶玛斯,交集,哈耳庇厄
陶玛斯,交集,厄勒克特拉
陶玛斯,交集,伊里丝
福耳库斯,交集,刻托
刻托,交集,盖亚
刻托,交集,蓬托斯
欧律比亚,交集,盖亚
