m52c004003 嘉荫县
j43c004003 热斯喀木村
j50c002001 石家庄市
k43c004002 沙热克巴依村
H45 日喀则市
i47c003002 西区
i50c004002 阜阳市
c50c001003 忠孝滩
k44c003001 乌什县
m51c002002 根河市
b49c004003 美丽暗沙
f49c002002 玉林市
j46c002002 茫崖行委矿产资源管理站
f51c003002 小兰屿
i47c004001 囊谦县
j44c001001 巴楚县
k50c003003 隆化县
i46c001001 可可西里湖
j44c001003 1161高地
h46c003004 墨脱县
k51c001001 开鲁县
i48c003002 陇南市
i46c003001 色务乡
l51c004001 扎鲁特旗
g49c002001 锦屏县
g48c004003 田林县
l53c002002 饶河县
c50c002001 郑和群礁
k45c004003 永丰村
h48c001001 马尔康县
e50c004001 比微暗沙
i49c003004 平顶山市
k47c003003 东风镇
h47c003001 然乌镇
k50c004002 延庆县
g50c003002 瑞金市
k50c002002 多伦县
l50c001002 查岗
k44c004004 盖孜库木乡
l50c003001 吉日嘎郎图苏木
j51c003002 威海市
h51c001002 启东市
j45c003001 阿羌乡
f51c002002 兰屿乡
j44c002002 玛雪特
h49c004004 长沙市
j48c002003 银川市
k48c003002 恩格日乌素嘎查
m52c004001 北安市
i48c002002 岷县
K50 张家口市
h51c004002 一江山岛
i48c001003 静宁县
h46c001002 那曲县
h46c002002 藏比乡
i49c003003 内乡县
h47c004001 察隅县
h44c001002 札达县
l45c002004 富蕴县
j50c003002 德州市
n51c004001 奇乾村
l45c003002 九斗
c50c003002 仁爱礁
g48c001003 毕节市
I45 改则县
g47c002004 攀枝花市
m52c002002 黑河市
g48c003002 曲靖市
g48c004001 玉溪市
k49c004001 乌拉特前旗
j47c002004 山丹县
j51c002001 旅顺口区
m50c001004 临江
h46c003001 拉萨市
k44c003002 阿克苏市
j50c002002 沧州市
k45c003002 库尔勒市
h50c001002 六安市
b49c001004 光星礁
f50c004002 东沙岛
h45c001004 雄梅镇
g49c002003 永州市
h48c002004 广安市
j50c003003 滨州市
h50c002002 太湖县
k47c003001 马鬃山镇
l45c003001 克拉玛依市
m52c003001 孙吴县
i48c004002 平武县
l45c004001 奎屯市
j45c004003 苟克尔曼
c49c004004 柏礁
j50c003001 邢台市
l52c003003 林口县
j51c003001 烟台市
k50c001002 锡林浩特市
j43c003003 塔什库尔干塔吉克自治县
j50c004004 潍坊市
e49c004004 东岛
i44c004001 曲松乡
g48c002001 东川区
g50c001002 抚州市
h46c001001 班戈县
j47c004004 西宁市
k52c001003 汪清县
l52c002004 双鸭山市
g50c004001 连平县
n51c003003 兴安镇
h44c003003 阿色甲康日
f50c001004 澎湖县
i46c002001 乌兰乌拉湖
c50c004002 半月礁
i49c001004 新乡市
j46c003004 柴旦镇
g50c003003 龙岩市
i47c001004 贵南县
i50c003004 淮安市
k49c002004 苏尼特右旗
m52c004004 保兴乡
g45c001004 亚东县
k51c002001 奈曼旗
j46c004001 布喀达坂峰
l52c003001 哈尔滨市
n51c003004 开库康乡
h49c002002 建始县
h50c003002 九江市
k49c003001 五原县
k46c004001 罗布泊镇
H46 拉萨市
k45c004002 农二师三十一团场英库勒镇
k45c002002 和静县
h49c001003 荆门市
k50c003001 张北县
m51c003001 牙克石市
j51c001003 东港市
L44 塔城市
H47 昌都县
k51c001003 四平市
k43c003004 塔什乌衣
j44c001002 夏河
l51c003001 科尔沁右翼中旗
j48c001002 沙林呼都格嘎查
h44c002003 普兰县
h47c002002 贡觉县
g48c003004 独山县
i50c001001 濮阳市
h45c004002 聂拉木县
k46c001004 伊吾县
j50c002004 刁口乡
J47 西宁市
l49c003004 博斯欣呼都格
i47c003003 达日县
K44 伊宁市
k50c003004 建平县
l50c001004 阿尔山市
h49c002003 宜昌市
g51c004002 宜兰县
m52c004002 克林乡
j46c004003 乌图美仁乡
b49c003003 康西暗沙
h50c004001 上高县
i43c001004 神仙湾
I50 南京市
k46c004003 二墩村
h45c002003 贡久布乡
M45 哈巴河县
j45c004004 白云湖
K51 沈阳市
c50c003001 九章群礁
j47c003002 阳康乡
k52c002004 马滴达村
k48c004003 敖伦布拉格镇
h47c003003 理塘县
g47c001004 盐源县
l52c003002 尚志市
b49c002003 一91高地
j49c004002 延长县
f48c001002 文山市
j43c001001 马尔坎苏
j43c001004 伽师县
e49c001003 七洲列岛
m50c003004 呼伦贝尔市
I43 乔戈里峰
g51c003003 钓鱼岛
k52c002002 二道白河镇
k49c004003 呼和浩特市
b49c004004 澄平礁
i45c003001 察布乡
k46c001001 木垒哈萨克自治县
h50c003003 景德镇市
m52c003002 逊克县
k46c003001 帕勒冈乔喀塔格山
j44c002001 海米塔克
k49c004004 大同市
k45c001003 乌鲁木齐市
j49c003004 太原市
c49c004002 广雅滩
j49c004001 延安市
m50c003002 布尔敦
g47c001002 贡山独龙族怒族自治县
h45c004004 江孜县
k46c002003 哈密市
h47c001002 江达县
k46c003003 雅满苏镇
c50c001002 礼乐滩
j49c002003 岢岚县
m51c001004 大乌苏镇
k44c002003 萨尔阔布乡
i48c002001 合作市
m52c003003 乌云镇
l45c004004 奇台县
K45 乌鲁木齐市
g45c001003 陈塘镇
k45c002003 乌什塔拉回族乡
k44c001003 伊宁市
g48c002003 安顺市
m52c002001 爱辉区
n51c003001 恩和哈达
k47c004003 鼎新镇
j45c001001 轮塔线三号阀室
k48c004002 乌力吉苏木
i48c002003 天水市
f47c001003 临沧市
i44c003003 阿汝村
k52c003002 长白朝鲜族自治县
i46c004002 安多县
G46 错那县
k49c001002 锡勒庙
l49c004004 达日罕乌拉苏木
b50c001001 安渡滩
j49c001001 杭锦旗
i47c002004 河南蒙古族自治县
g46c002003 西召瑟
m53c004002 抚远县
g50c002004 福州市
g50c002002 广昌县
i43c001003 玉林冰河
H48 成都市
l51c004004 德惠市
j44c003001 皮山县
d50c001001 武勇暗沙
h47c004002 德钦县
h46c002003 嘉黎县
l51c002003 泰来县
j43c004002 波希尔
l44c004002 霍城县
h46c004001 洛扎县
k49c002001 桑根达来嘎查
k48c003003 满都拉嘎查
j49c003002 绥德县
l49c004003 洪格尔苏木
m50c002004 黑山头镇
j43c002003 英吉沙县
k50c003002 丰宁满族自治县
g49c003002 桂林市
I46 安多县
i48c003001 若尔盖县
j46c002004 建设乡
j47c001001 昌马乡
l52c001003 鹤岗市
m51c002004 多宝山镇
N52 兴华乡
a49c001003 立地暗沙
i48c003003 成县
l52c002003 佳木斯市
c50c002002 费信岛
h45c003003 拉孜县
i45c002003 凌云山
f51c002001 高雄市
g49c003001 融安县
i47c003004 久治县
j46c003003 东台吉乃尔湖
i49c002002 灵宝市
l45c001002 吉木乃县
l51c002001 索伦镇
l44c004004 精河县
l51c003002 白城市
M51 嫩江县
g48c003001 昆明市
i51c004002 吕四港镇
k50c001004 巴林右旗
f51c003001 七星岩
j49c002004 忻州市
h44c001001 萨让乡
l51c003003 大安市
l51c003004 松原市
j45c002004 苏吾·什杰
l52c001001 海伦市
j44c004001 色日克克尔村
g50c002001 井冈山市
c50c004001 南华礁
K49 呼和浩特市
j50c004003 淄博市
h50c003001 咸宁市
i49c004003 襄阳市
m51c003003 诺敏镇
h46c002004 边坝县
f49c003001 北海市
k50c001003 林西县
k51c004003 丹东市
m51c004004 讷河市
l52c004001 榆树市
l53c001001 富锦市
l51c002002 乌兰浩特市
j49c002002 榆林市
h44c002001 克吉亚姆
l46c003001 北塔山牧场生产连
l49c003003 高勒敖包
h49c004003 益阳市
i46c002002 唐古拉山镇
i46c004004 杂多县
f49c004001 斜阳村
j49c003001 靖边县
f48c001004 百色市
f49c004002 海口市
h48c003002 自贡市
l50c001003 贝尔湖
l53c003002 虎头镇
H44 普兰县
h50c004004 衢州市
m51c003004 嫩江县
j44c003004 民丰县
g47c003004 楚雄市
h50c002004 宣城市
i49c004004 枣阳市
j48c004004 环县
j45c001003 若羌县
i48c004004 南江县
k50c002003 王府镇
i47c001001 麻多乡
f48c002001 金平苗族瑶族傣族自治县
i48c003004 汉中市
k46c001002 博尔羌吉镇
f47c001004 宁洱哈尼族彝族自治县
g46c001003 济罗
I44 噶尔县
f49c001004 广州市
l46c004003 三塘湖乡
g48c003003 安龙县
k50c004004 青龙满族自治县
h48c003003 内江市
j51c004001 青岛市
j49c001004 应县
l50c004003 西乌珠穆沁旗
j47c003003 天峻县
m45c004003 冲乎尔镇
i46c003004 治多县
m50c004004 伊敏河镇
j44c003002 和田市
j47c001004 阿拉善右旗
e49c002002 三亚市
j51c001002 金州区
C50 太平岛
f48c002002 河口瑶族自治县
i49c004001 安康市
f47c003004 勐腊县
h45c003001 萨嘎县
k49c003004 乌兰察布市
i44c002004 托和平错
f50c003001 北尖岛
i49c002001 西安市
f48c003004 东兴市
k47c002001 明水村
g51c003004 赤尾屿
j43c001002 乌鲁克恰提乡
k51c002002 阜新市
h49c001004 随州市
f49c002004 江门市
h51c002002 岱山县
i44c003004 先遣乡
f49c003004 广海镇
k44c004002 阿瓦提县
j45c002003 瓦石峡乡
j46c001004 肃北蒙古族自治县
k44c004003 阿拉尔市
l45c004003 昌吉市
i47c001002 香日德镇
i46c002003 莫曲
l53c002001 宝清县
l52c002001 绥化市
g49c001001 铜仁市
g50c001004 福安市
k48c002004 巴音查干嘎查
j46c004002 金星矿业
l50c004004 富河镇
c49c002004 福禄寺礁
f51c001002 花莲县
i50c003003 宿迁市
j43c002004 莎车县
f50c001002 汕头市
L50 西乌珠穆沁旗
k49c003002 白云鄂博矿区
i44c001003 阿克苏卡子
j45c003002 库拉木勒克乡
g47c001003 香格里拉县
k43c004003 托云乡
m45c003002 那尔森
i45c003004 双湖特别区
g46c002002 伏特山营地
J45 且末县
j48c001001 雅布赖镇
i44c004002 噶尔县
g47c004003 凤庆县
l44c004003 博乐市
g48c002002 六盘水市
h50c001003 合肥市
F48 崇左市
h50c001001 麻城市
f47c002003 澜沧拉祜族自治县
i44c003001 热角村
l50c002004 满都胡宝拉格镇
L51 齐齐哈尔市
h45c003002 桑桑镇
g49c004002 鹿寨县
M53 抚远县
h48c003004 重庆市
l46c004004 黑山
h48c004001 甘洛县
k45c001001 那拉提镇
j48c003001 武威市
h44c003004 纳久乡
J49 太原市
h46c001004 丁青县
l50c004002 朝克乌拉苏木
l50c004001 阿巴嘎旗
i50c004004 南京市
h47c002003 新龙县
h46c002001 当雄县
l51c001002 碾子山区
f51c001001 嘉义市
j50c001003 天津市
j48c003002 景泰县
i49c003002 商洛市
g51c004001 台中市
i45c004002 荣玛乡
n51c004002 漠河县
g46c001002 错那县
k44c001004 新源县
f48c001003 靖西县
k47c004004 古日乃嘎查
i49c001002 韩城市
l46c003003 呼和温多尔乌拉
f49c003003 阳江市
k48c004004 巴彦淖尔市
i45c004001 改则县
F50 香港
k49c001004 苏尼特左旗
j45c004002 银石山
e49c002001 乐东黎族自治县
j50c001004 秦皇岛市
k43c004004 哈拉布拉克乡
k51c004004 宽甸满族自治县
f48c002003 龙邦镇
m45c004004 阿拉脱贝
h46c004002 哲古镇
h47c003004 九龙县
h47c001003 甘孜县
h51c004001 台州市
i50c002004 连云港市
h44c001004 仁多乡
l46c003002 努如斯亚阔拉
m51c002003 加格达奇区
n51c004004 塔河县
i48c004001 红原县
f47c002004 普洱市
g50c004002 梅州市
h44c002002 西兰塔
j45c001002 1167高地
j49c004004 长治市
H49 长沙市
i46c002004 曲麻莱县
k44c004001 柯坪县
l52c001002 伊春市
k47c002004 伊布图嘎查
j46c003002 老茫崖
j50c004002 济南市
l51c001004 依安县
h51c001001 上海市
b49c003004 北康暗沙
h51c002001 杭州市
j51c004002 乳山市
i44c002001 温泉
f50c001003 东山县
l45c001001 马群沟
m50c003003 满洲里市
l46c002001 青河县
h51c002003 童岛
k45c002004 吐鲁番市
i46c003002 雁石坪镇
D50 黄岩岛
K46 哈密市
G51 台北市
j48c004001 民和回族土族自治县
k47c002003 老点
h49c003002 张家界市
L46 青河县
b49c001003 南薇滩
h48c004003 泸州市
h47c004003 乡城县
l51c004003 通榆县
j43c003004 叶城县
l46c004002 大红柳峡乡
i49c003001 镇安县
m50c004002 新巴尔虎右旗
j45c002002 且末县
h48c002002 成都市
h45c002004 申扎县
l52c001004 萝北县
j46c003001 祁漫塔格乡
g50c003004 莆田市
l45c001003 阿勒泰市
i44c002002 东汝乡
l44c001004 克孜贝提村
H50 武汉市
j47c001003 临泽县
k48c003001 温图高勒苏木
k51c004002 营口市
i51c002001 滨淮农场
c49c004003 南威岛
k48c003004 乌拉特后旗
g47c003003 大理市
j48c004002 兰州市
j50c001001 蔚县
k50c002004 赤峰市
g49c003003 道县
k49c003003 四子王旗
j48c002004 鄂托克前旗
j43c002002 布伦口乡
j46c004004 格尔木市
g47c002003 丽江市
j48c004003 固原市
g47c002002 福贡县
m53c004001 富川村
n51c003002 北极镇
j48c002001 金昌市
g51c003002 台北市
g50c001003 邵武市
l50c002003 额仁高毕嘎查
i45c002004 色务乡五村
j47c003004 门源回族自治县
k47c004001 玉门市
k48c002003 巴彦哈日
k45c001004 吉木萨尔县
h45c003004 日喀则市
g47c004002 芒市
g49c001002 怀化市
i50c002003 徐州市
k52c002003 延吉市
i50c002002 商丘市
f48c001001 蒙自市
l45c002001 铁厂沟镇
h47c001001 昌都县
h51c003001 嵊州市
h44c002004 霍尔巴乡
g50c003001 赣州市
h45c002002 查孜乡
k49c004002 包头市
k51c003002 鞍山市
m53c004003 久良岛
h48c001004 达州市
j49c002001 乌审旗
f49c001001 来宾市
b49c002004 南通礁
j47c002003 张掖市
i50c001002 济宁市
j45c003004 阿雅格库木库里
f49c002003 云浮市
h46c003003 林芝县
h49c004002 吉首市
G48 昆明市
i51c003001 盐城市
L52 哈尔滨市
i44c003002 日土县
h50c003004 金华市
c50c002003 海马滩
j45c002001 英吾斯塘乡
k52c001002 敦化市
l52c004004 绥芬河市
h48c003001 雅安市
d49c001004 排洪滩
f47c001002 镇康县
f48c002004 崇左市
i45c001004 多格错仁强错
i45c004003 常玛村
g48c002004 贵阳市
E49 三亚市
i46c001002 卓乃湖
k44c002004 黑英山乡
k51c003001 锦州市
h49c002004 孝感市
j48c001003 石嘴山市
G47 大理市
j51c002002 大连市
m51c002001 额尔古纳市
i50c003001 漯河市
n52c004001 兴华乡
c50c001001 双子群礁
i50c002001 开封市
j46c002001 茫崖镇
f49c001002 贵港市
i48c002004 宝鸡市
j49c001002 鄂尔多斯市
h49c001002 神农架林区
i47c004002 石渠县
k51c002004 辽源市
l44c003004 托里县
K48 巴彦淖尔市
L53 虎林市
h45c001003 尼玛县
h48c004004 正安县
j47c001002 酒泉市
N51 漠河县
j45c003003 库木苏拉克
k45c003001 轮台县
i47c002001 扎陵湖
e49c004003 永乐群岛
k49c002002 满都拉镇
L45 克拉玛依市
k47c003002 乌兰乌拉嘎查
j48c001004 乌海市
j48c002002 西渠镇
l46c001001 科克哈布塔勒
G45 亚东县
k46c002001 鄯善县
k44c001002 爱新色里镇
h50c002001 武汉市
i49c004002 十堰市
g49c001003 邵阳市
g51c002001 霞浦县
i46c004003 扎色镇
J43 喀什市
m51c003002 乌尔其汉林场
g49c004003 贺州市
k52c004001 后崴子
k51c001002 通辽市
k44c003004 库车县
j44c003003 固拉合玛乡
j45c004001 奥依亚依拉克乡
h47c002001 八宿县
i45c002002 布若错
k45c004001 喀尔曲尕乡
l50c003004 霍林郭勒市
l53c001002 小佳河镇
M50 呼伦贝尔市
h45c002001 吉玛乡
i45c001002 玛尔盖茶卡
k52c002001 靖宇县
c49c003004 永暑礁
i47c001003 兴海县
f47c003003 勐海县
