name,text
伊阿珀托斯,伊阿珀托斯（Ιάπετος）是乌刺诺斯与该亚的儿子，巨人之一，阿特拉斯，普罗密修斯、厄庇墨斯、墨诺提俄斯的父亲。古代希脂人把他作为人类的始祖[1] 。
瑞亚,瑞亚（英语：Rhea）是希腊神话中的第二代众神之王后，大地女神盖亚与天空之神乌拉诺斯所生的女儿，泰坦神族之王克洛诺斯的妻子，原为十二提坦巨神之一、掌握时光流逝的女神。最后被夺去时间变成石像，随着克罗诺斯一起死去，将其变成石像的人物不明。
忒堤斯,泰西斯是希腊神话中的海之女神。她是希腊第一位、最初的海洋女神，因此在希腊语中，泰西斯也是“祖母”的意思，在早期神话中，她是一位创世女神。她与大洋神欧申纳斯生下的众多子女里，每一个孩子都代表着小溪、河流或者大海。[1] 
忒亚,十二提坦之一，“Θεία”一名最早出现在赫西俄德的《神谱》[1] 中，是“θειος（神，神的）”的阴，意为“女神，女神的”。赫西俄德认为她是盖亚和乌拉诺斯之女，在后来的神话中得到普遍支持[1-3] 。在荷马祷歌里被称为“Εὐρυφάεσσα（音译为欧律法厄萨）”，字面意思为“广大的光”[4] 所以被她认为是古光明女神。
福柏,福柏，乌拉诺斯和盖亚之女；一位提坦，传统上与神谕有联系，被认为是光之女神。后嫁给科俄斯为妻。
忒弥斯,忒弥斯（Θεμις / Themis，“法律”）是法律和正义的象征。 她是乌拉诺斯的女儿，十二泰坦（提坦）神之一。作为宙斯的姑妈和第二位妻子（在墨提斯之后），她和宙斯生育了荷赖（时序三女神）和摩赖埃（命运三女神）[1] 。
谟涅摩叙涅,谟涅摩绪涅（古希腊语：Μνημοσύνη，英语：Mnemosyne）希腊神话里司记忆、语言、文字的女神 ，十二提坦之一。依据赫西俄德《神谱》[1] 她是乌拉诺斯和盖亚之女，和宙斯结合生下九位缪斯。然而许癸努斯提供了她身世的另一种说法，称她是埃忒耳（或俄刻阿诺斯）和盖亚所生。在罗马她被称为摩涅塔（Moneta）英文为Mnemosyne。在许多神话和传说中，她作为缪斯的母亲，最初是口头叙事诗人的庇护者。她也是古老的时间女神[2-3] ，她还是一个的次要神谕女神。她负责的地下神谕在玻俄提亚的特洛福尼俄斯。
赫利俄斯,赫利俄斯（Helios），是古希腊神话中的太阳神，依据赫西俄德的《神谱》 ，是提坦神许珀里翁与忒亚儿子，月女神塞勒涅和黎明女神厄俄斯的兄弟， 传说他每日乘着四匹火马所拉的日辇在天空中驰骋，从东至西，晨出晚没，令光明普照世界。在后世神话中，他与阿波罗被逐渐混为一体。在罗马他被称为索尔（Sol）。
塞勒涅,塞勒涅（Selene）是古希腊神话中的月亮女神。依据赫西俄德的《神谱》 [1] 记载，她是提坦巨神许配里翁与忒亚的第二个孩子、第一个女儿，太阳神赫利俄斯和黎明女神厄俄斯的姊妹。塞勒涅在神话中的传统形象是：戴着光辉的新月冠，身披长袍或戴着面纱；有时长有双翼，顶着金色光环，乘坐一辆由两匹神马（一说是牛，取以牛角象征新月之意）拉动的月车在夜空中飞驰，当白昼来临时消失于欧申纳斯中。 在古典神话中，塞勒涅与其兄弟赫利俄斯每天轮流驾车从天空经过，形成昼夜交替。对应罗马的露娜、狄安娜等女神。
厄俄斯,厄俄斯是古希腊神话中的黎明女神，是提坦神许珀里翁（Hyperion）与光明女神忒亚（Thea）的女儿，太阳神赫利俄斯（Helius）和月亮女神塞勒涅（Selene）的姐姐。
勒托,勒托（Leto），是希腊神话中的泰坦女神。她是一个保育、哺乳的女神，因此可能衍化为阿尔忒弥斯、阿波罗两位大神的哺养者、母亲。勒托的名字含义可能有“遗忘”、“模糊的”、“隐蔽的”意思，一般只和她的孩子一起被崇拜。提坦之女，宙斯的堂、表姐，宙斯第六任妻子，提坦十二神之一的科俄斯（Coeus）与光之女神福柏（Phoebe）的女儿，流星女神阿斯忒瑞亚（Asteria）的姐姐。她的神性是静止的、隐匿的。[1-2] 
阿斯忒瑞亚,阿斯忒瑞亚（即阿斯特瑞亚，阿斯忒里亚；英文：Asteria/希腊文：Άστερία）：希腊神话里的流星女神，可能也是一个在梦中发布神谕的泰坦女神。是哺育女神勒托之妹，泰坦科俄斯和福柏所生，和勒托同时为提洛斯岛崇拜的女神。阿斯忒瑞亚的名字有“明星”的意思，她曾经坠入海中化身为岛屿，所以是一位跟流星有关的女神，同时她与总管所有星辰的群星之神阿斯特赖俄斯有词源上的联系。
阿斯特赖俄斯,阿斯特赖俄斯是古希腊的群星之神，提坦神之一。在古代艺术和占星学中是一位和恒星和行星相关的神，和黎明女神厄俄斯生下了众风神和众星辰，根据另一种说法，他是正义与星辰女神阿斯翠亚（阿斯特赖亚艾斯特莱雅）[1] 的父亲。
珀耳塞斯,珀耳塞斯，希腊神话里司掌毁灭的泰坦神 ，拥有不可思议的神力。依据赫西俄德的《神谱》[1] ，他是克利俄斯和欧律比亚之子，帕拉斯和阿斯特赖俄斯的兄弟。他和阿斯忒里亚结合生下了赫卡忒。在希腊神话中，是多数没有具体神话传说及人物形象的神明之一。
帕拉斯,帕拉斯（希腊语：Παλλας；英语：Pallas）是希腊神话中与战争、兵法有关的神，他也是与 晚春时节的选举季有关的神。他的妻子是大洋神女中的长姐斯堤克斯。[1] 帕拉斯是胜利女神奈姬的父亲，智慧女神雅典娜的姨父。
阿特拉斯,阿特拉斯（希腊语：Άτλας、英语：Atlas），或译亚特拉斯，是古希腊神话中的擎天巨神，属于泰坦神族。他被宙斯降罪用双肩支撑苍天。
普罗米修斯,普罗米修斯（古希腊语：Προμηθεύς、英语：Prometheus，名字的含义是“先见之明”），是古希腊神话中泰坦一族的神明之一，他是地母盖亚与乌拉诺斯的儿子伊阿珀托斯与克吕墨涅所生，和厄庇墨透斯是兄弟。普罗米修斯曾与智慧女神雅典娜共同创造了人类，普罗米修斯负责用泥土雕塑出人的形状，雅典娜则为泥人灌注灵魂，并教会了人类很多知识。普罗米修斯还反抗宙斯，将火种带到人间。[2] 
埃庇米修斯,希腊神话中伊阿佩托斯(Iapetus)，与海洋女神克吕墨涅(Clymene）之子，普罗米修斯、阿忒拉斯和墨诺提俄斯（Menoetius）的兄弟，潘多拉的丈夫。
墨诺提俄斯,墨诺提俄斯是第二代泰坦，提坦神伊阿珀托斯与克吕墨涅的儿子，阿特拉斯、普罗米修斯和厄庇墨透斯的兄弟。他参加了提坦众神反抗宙斯的战争（参见提坦战争）。他在特里费勒山的战斗中被宙斯击败（一说是被闪电击中），与其他泰坦一样被投入塔耳塔罗斯监禁了起来。
宙斯,宙斯（古希腊语：Ζεύς、希腊语：Δίας、英语：Zeus），是古希腊神话中的第三代神王，统治世间万物至高无上的天神，奥林匹斯十二主神之首。是希腊神话中最伟大的神。罗马神话中对应宙斯的神祇是朱庇特（Jupiter或Jove）。宙斯被称为“众神之王”或“奥林匹斯之王”，同时也是天空与雷电之神。当他心情好的时候，天上就阳光明媚、晴空万里。当他愤怒时，天空就会乌云密布、电闪雷鸣。[1] 因为古希腊人及罗马人崇拜宙斯，因此在神话里将宙斯说成是自己的祖先，奥林匹斯的许多神祇和许多希腊英雄都是他和不同女子生下的子女。他以雷电为武器，维持着天地间的秩序，公牛和鹰是他的标志。他的两个兄弟波塞冬和哈迪斯分别掌管海洋和冥界。宙斯守护的星座是射手座。
赫拉,赫拉（希腊语：Ἥρα、英语：Hera），是古希腊神话中的第三代天后，同时也是婚姻与生育女神、奥林匹斯十二主神之一。第二代神王神后克洛诺斯和瑞亚的女儿，与宙斯分享权力的共治者，宙斯的姐姐和第七位妻子。她和宙斯共同育有赫菲斯托斯、阿瑞斯、赫柏和厄勒梯亚。罗马神话中与之对应的是天后朱诺。她的名字在古希腊语中为“贵妇人”、“女主人”、“高贵的女性”的意思。古希腊诗人—赫西俄德的著作《神谱》中则把赫拉称为“脚穿金鞋的赫拉（gold-shod Hera）”；在荷马史诗中，她被称为“白臂女神赫拉（white-armed goddess Hera）”、“金座女神赫拉（golden-seated goddess Hera）”以及“牛眼睛的天国王后（ox-eyed Queen of Heaven）”，形容坐在黄金宝座上的天后赫拉异常美丽，拥有一双炯炯有神和洞察一切事物的大眼睛，臂膀洁白如百合，一头秀美的卷发从王冠下边泻出，流露出威严而安详的神情。
波塞冬,波塞冬（希腊语：Ποσειδῶν、英语：Poseidon），是古希腊神话中的海神，奥林匹斯十二主神之一。同时也是掌管马匹的神，传说他给予了人类第一匹马，他的坐骑是白马驾驶的黄金战车，他是宙斯和哈迪斯的兄弟。波塞冬愤怒时海中就会出现海怪，当他挥动三叉戟时，不但能轻易掀起滔天巨浪，引发风暴和海啸来使大陆沉没、天地崩裂，还能将万物打得粉碎，甚至引发大地震。当他的战车在大海上奔驰时，波浪会变的平静，并且周围有海豚跟随。因此爱琴海附近的希腊海员和渔民对他极为的崇拜。[1] 罗马人在帝国后期以罗马神与希腊神对应。与波塞冬对应的罗马神为海神尼普顿（Neptune），海王星的拉丁名便起源于他。
德墨忒尔,德墨忒尔（希腊语：Δήμητρα、英语：Demeter），是古希腊神话中的农业、谷物和丰收的女神，奥林匹斯十二主神之一。在罗马神话中与德墨忒尔相对应的神祇是谷神克瑞斯（拉丁语：Ceres）。德墨忒尔教会人类耕种，给予大地生机。她具有无边的法力，可以使土地肥沃、植物茂盛、五谷丰登，也可以令大地枯萎、万物凋零、寸草不生。可以让人拥有享之不尽的财富，同时也可以让人家徒四壁、一贫如洗。德墨忒尔是克洛诺斯和瑞亚的女儿，赫斯提亚的妹妹，赫拉、哈迪斯、波塞冬和宙斯的姐姐，后与宙斯生下了冥后珀耳塞福涅。
阿波罗,阿波罗（希腊语：Απόλλων、英语：Apollo），是古希腊神话中的光明、预言、音乐和医药之神，消灾解难之神。同时也是人类文明、迁徙和航海者的保护神。亦是宙斯和勒托之子，阿尔忒弥斯的孪生弟弟。[1] 阿波罗又被称作福玻斯·阿波罗（Φοίβος Απόλλων），而福玻斯是“光明”或“光辉灿烂”的意思。阿波罗是所有男神之中相貌最英俊的一个，他快乐、聪明、拥有着阳光般的气质，是许多艺术家在诗画中赞颂的对象。在神谱里面，太阳神指的是赫利俄斯。他是光神海波里斯的儿子。[7] 阿波罗是艺术之神，并非太阳神。在著名的《荷马史诗》（公元前8世纪）的记载中，阿波罗被称为弓箭之王、远射神、金剑王。
阿尔忒弥斯,阿尔忒弥斯（希腊语：Ἄρτεμις、英语：Artemis），又名辛西亚，是古希腊神话中的狩猎女神，被称为“野兽的女主人与荒野的领主”。奥林匹斯十二主神之一。亦是宙斯（Zeus）和勒托（Leto）之女，阿波罗（Apollo）的孪生姐姐。[1] 阿尔忒弥斯自由独立，热爱野外生活，反对男女婚姻。她喜欢的是不嫁的处女们，以及那些蔑视阿佛洛狄忒（Aphrodite）的青年男女，她与赫斯提亚（Hestia）、雅典娜（Athena）被视为奥林匹斯山上的三处女神。她从小就向父亲宙斯许诺做永远的处女，同时索要弓箭、所有的山脉和20个给她保养猎靴的宁芙侍女。在林莽和山野间，阿尔忒弥斯手持弓箭，由猎狗伴随，与侍奉她的众仙女以狩猎为乐。她很喜欢金角鹿，并抓到这种鹿给她拉车。[2] 阿尔忒弥斯因被命运女神选为接生神，于是便向宙斯索取主管接生新生儿的权力。她是古希腊人祭祀最多的神祇之一。世界七大奇迹之一的阿尔忒弥斯神庙就是专门为她修建的。
阿瑞斯,阿瑞斯（希腊语：Ἄρης、英语：Ares），是古希腊神话中的战争之神，奥林匹斯十二主神之一，亦是众神之王宙斯和天后赫拉之子，被视为尚武精神的化身，罗马神话中与之对应的是玛尔斯（Mars）。在奥林匹斯诸神中，阿瑞斯是战争、兵变、杀戮与暴乱之神。他被形容为“嗜血成性的杀人魔王以及有防卫的城堡的征服者”。他是力量与权力的象征，嗜杀、血腥，人类祸灾的化身。
雅典娜,雅典娜（希腊语：Ἀθήνη、英语：Athena），也称帕拉斯·雅典娜，是希腊神话中的智慧女神和战争女神。奥林匹斯十二主神之一[1] 。古希腊文献所述雅典娜是一位端庄貌美的年轻女神，她从人类被创造起就常驻凡间，教会人类各种生存知识，为人类创造了初始的生存工具。[5-6] 雅典娜也是艺术女神、手工艺的保护神，她传授人类纺织、烹饪、园艺、陶艺等工艺；绘画、音乐、诗歌、舞蹈等艺术。密教祷歌称她为“创始艺术的”[2] 。同时她还是军事、农业、医疗、航海、驯马的保护神；法庭与秩序的女神。她创立了雅典的第一法庭。[6] 雅典娜渴望独立、坚持不婚，与阿尔忒弥斯、赫斯提亚被视为奥林匹斯山上的三处女神。她是少女未婚时期的保护神，亦是妇女劳动和生育的保护神，希腊妇女亲切地称她为“厄耳伽妮（Ἐργάνη，意为女工）”[3-4] [6] 雅典娜是宙斯和智慧女神墨提斯的女儿。盖亚和乌拉诺斯预言，墨提斯未来的孩子都聪明且强大，她生下明眸女儿后，会再生一个推翻宙斯的儿子。宙斯惧怕子女所带来麻烦，于是趁墨提斯还怀着雅典娜时，便将母女俩吞入腹中。此后宙斯头痛欲裂，只好要求火神赫菲斯托斯（或普罗米修斯或赫尔墨斯）劈开他的头颅，刚举起斧头，令诸神惊讶的是，一位体态婀娜、披坚执锐的美丽女神，竟冲破宙斯的头颅一跃而出。[7] 
赫菲斯托斯,赫菲斯托斯（希腊语：Ἥφαιστος、英语：Hephaestus），是古希腊神话中的火神、锻造与砌石之神、雕刻艺术之神。奥林匹斯十二主神之一。是宙斯和赫拉的儿子（或由赫拉独生），阿佛洛狄忒或阿格莱亚的丈夫。赫菲斯托斯善于建造神殿，制作各种武器和金属用品，技艺高超，被誉为工匠的始祖，以及锻造的庇护神。在利姆诺斯、西西里等岛屿最初尊他为地火之神，据说当大地轰隆震响、火山喷发，就是他在打铁。赫菲斯托斯对应罗马神话中的伏尔甘（Vulcan），伏尔甘本身是罗马的古老神明，但他起初并没有更多事迹，只是单纯的火焰化身，后罗马人将他与赫菲斯托斯进行混同，使其获得了锻造神的身份。据说这个神明的名字起源于克里特岛，而西方语言中的“火山”一词便是源于其名字。
阿佛洛狄忒,阿佛洛狄忒（希腊语：Ἀφροδίτη、英语：Aphrodite），是古希腊神话中爱情与美丽的女神，同时也是性欲女神，奥林匹斯十二主神之一。因其诞生于海洋，所以有时还被奉为航海的庇护神。阿佛洛狄忒生于海中浪花，拥有白瓷般的肌肤、金发碧眼和古希腊女性完美的身材和相貌，象征女性的美丽，被认为是女性身体美的最高象征。阿佛洛狄忒是火与工匠之神赫菲斯托斯（Hephaestus）的妻子，但经常对丈夫不忠，有关她的恋爱传说很多。在古希腊、古罗马以及文艺复兴时期艺术作品的，她会被塑造成绝色美人，而有关于她的最著名的雕像，是在米洛斯岛出土的“米洛斯的阿弗洛狄忒”。[1] 
赫尔墨斯,赫尔墨斯（希腊语：Ἑρμῆς、英语：Hermes），是古希腊神话中的商业、旅者、小偷和畜牧之神。也是众神的使者，奥林匹斯十二主神之一。是宙斯与阿特拉斯之女迈亚的儿子，罗马又称墨丘利。赫尔墨斯出生在阿耳卡狄亚的一个山洞里，最早是阿耳卡狄亚的神。奥林匹斯统一后，他成为宙斯的传旨者和信使。同时也被视为行路者、医生、小偷和商人的保护神、以及雄辩之神。传说他发明了尺、数和字母。他聪明狡猾，又被视为欺骗之术的创造者，他把诈骗术传给了自己的儿子。他还是里拉琴的发明者，是希腊各种竞技比赛的庇护神。后来他又与古埃及的智慧神托特混为一体，被认为是魔法的庇护者，他的魔杖可使神与人入睡，也可使他们从梦中苏醒过来。
狄俄尼索斯,狄俄尼索斯（希腊语：Διόνυσος、英语：Dionysus），是古希腊神话中的酒神，奥林匹斯十二主神之一。狄俄尼索斯是古希腊色雷斯人信奉的葡萄酒之神，不仅握有葡萄酒醉人的力量，还以布施欢乐与慈爱在当时成为极有感召力的神，他推动了古代社会的文明并确立了法则，维护着世界的和平。此外，他还护佑着希腊的农业与戏剧文化。在奥林匹斯山的传说中他是宙斯与塞墨勒之子（另一说法是宙斯与珀耳塞福涅）。古希腊人对酒神的祭祀是秘密宗教仪式之一，类似对于德墨忒尔与珀耳塞福涅的厄琉西斯秘仪。在色雷斯人的仪式中，他身着狐狸皮，据说是象征新生。而专属酒神的狄俄尼索斯狂欢仪式是最秘密的宗教仪式。狄俄尼索斯神名中的Dio-，一般相信可能是源自于宙斯（Zeus，属格Dio），就像狄俄斯库里兄弟（古希腊语：Διόσκουροι，拉丁语：Dioscūrī）的名称中也有Dio-一样。学者Robert S. P. Beekes则认为他的神名可能起源自前希腊时期。狄俄尼索斯崇拜的起源很早，在迈锡尼希腊语中，以线形B文字留下的记录中，将他的神名写为:0（di-wo-nu-so）。历史学家认为，约在公元前1500年至1100年之间，狄俄尼索斯信仰就已经在迈锡尼文明中盛行。有些学者相信，这个信仰可能在米诺斯文明时就已经出现。
赫斯提亚,赫斯提亚（希腊语：Ἑστία、英语：Hestia，意为“炉”或“炉边”），是古希腊神话中的炉灶与家庭女神，也是圣火女神。奥林匹斯十二主神之一。赫西俄德认为她是第二代神王神后克洛诺斯和瑞亚的第一个孩子，德墨忒尔、赫拉、哈迪斯、波塞冬和宙斯的大姐。赫斯提亚是奥林匹斯山上最神圣、最古老的神明，与雅典娜、阿尔忒弥斯被视为奥林匹斯山上的三处女神。赫斯提亚为了躲避波塞冬和阿波罗的追求，向宙斯要求得到主掌人间所有家灶的权力，宙斯应允了她，并使赫斯提亚成为奥林匹斯所有女神中的首席。
哈迪斯,哈迪斯（希腊语：Ἅιδης、英语：Hades，又译黑帝斯、哈得斯、哈帝斯等），是希腊神话中的冥王，宙斯与波塞冬的兄弟，宙斯与得墨忒耳之女珀耳塞福涅的配偶神。哈迪斯经常被称为“地府的宙斯”，是一个与宙斯混同或被视为宙斯冥界化身的冥神。他也被当成是宙斯和波塞冬的兄弟，《伊利亚特》中他是宙斯与波塞冬的三弟[1] ，《神谱》中他是宙斯与波塞冬的大哥。哈迪斯在古希腊属于克托尼俄斯神，即大地与地下的神。他的神庙很少，仅在伊利斯地区有一座[2] ，通常不属于最受欢迎的十二主神，希腊发行的十二神邮票没有哈迪斯。但偶尔一些十二神版本，会列入赫拉克勒斯、美惠女神、哈迪斯等神，柏拉图联系了十二神和十二个月的关系，他认为哈迪斯应当和最后一月相联系，代表死者的亡魂。哈迪斯被描绘成一个长胡子、持鸟头杖、带有三头犬的神，与死神塞拉匹斯神混淆[3] 。冥界大多数事务有其他神掌管，珀耳塞福涅掌管鬼魂祭祀，死神和睡神搬运尸体，宙斯派来的三判官审案或上报宙斯[6] 。哈迪斯管理的事务较少，他通常被古希腊人视为冥界的拟人，是冥界之神[4] 。他有个别名是埃多纽斯，意为“众客之主”，是掌管鬼魂们的神[5] 。他有时也是珀耳塞福涅附属的一名厄琉息斯神[5] 。
俄尼里伊,俄尼里伊（Onirii）/奥涅伊洛斯（Oneiros）：希腊神话中的梦呓神族（三千梦神），一说为尼克斯之子，一说为修普诺斯之子。他们是所有梦的化身，奥涅伊洛斯肩生黑翼，居住在梦乡，位于大洋彼岸，冥界之边。梦乡有两扇大门，从牛角门出来的为虚假之梦，而从象牙门出来的则是真实之梦。罗马神话中对应宋尼亚（Somnia）。
阿涅弥伊,阿涅弥伊是古希腊神话中四大风神的统称，包括北风神玻瑞阿斯、南风神诺托斯、东风神欧洛斯和西风神仄费洛斯，皆为阿斯特赖俄斯与厄俄斯的儿子。
阿斯特拉,阿斯特拉，特摄剧《雷欧·奥特曼》中登场的奥特曼，是雷欧·奥特曼的孪生弟弟，同样来自L77星球。因为L77星球被马格马星人毁灭而不知所踪。最后他被奥特之王从马格马星中解救出来，并参加了保卫地球的战斗，与哥哥合力打败了许多强敌[1] 。阿斯特拉拥有匹敌雷欧的实力，在一般情况下他的行踪不为人知，但每逢雷欧危急之时，阿斯特拉肯定会及时赶到支援。后来因为拯救了奥特之星和地球（详情见《雷欧·奥特曼》第39话）得到了奥特之王的认可，与哥哥雷欧一起加入了奥特兄弟的行列，也作为赛罗的代理教练指导其成长。阿斯特拉（Astra）的名字设计，来自于「飞鸟（asuka）」和「老虎（tora）」两个词的日文发音组合[1] 。
